rank,mark,wind,name,nat
1,9.83,+1.3,Zharnel HUGHES,GBR
2,9.84,-0.5,Ferdinand OMANYALA,KEN
3,9.88,+1.5,Fred KERLEY,USA
4,9.89,+1.0,Ackeem BLAKE,JAM
4,9.89,+1.3,Pjai AUSTIN,USA
4,9.89,+1.8,Courtney LINDSEY,USA
7,9.90,+1.8,Godson Oke OGHENEBRUME,NGR
7,9.90,+0.9,Cravont CHARLESTON,USA
9,9.91,+1.0,Terrence JONES,BAH
9,9.91,+1.0,Christian COLEMAN,USA
9,9.91,+1.8,Shaun MASWANGANYI,RSA
12,9.92,+0.6,Akani SIMBINE,RSA
12,9.92,+1.4,Udodi Chudi ONWUZURIKE,NGR
14,9.93,+0.8,Marvin BRACY-WILLIAMS,USA
14,9.93,+0.1,Eugene AMO-DADZIE,GBR
16,9.95,+1.8,Oblique SEVILLE,JAM
16,9.95,+1.6,Noah LYLES,USA
18,9.96,+1.3,Favour Oghene Tejiri ASHE,NGR
18,9.96,+1.4,Arthur CISSÉ,CIV
20,9.97,+1.3,Cole BECK,USA
20,9.97,+1.8,Da'marcus FLEMING,USA
22,9.98,+1.6,Joseph FAHNBULLEH,LBR
22,9.98,-0.5,Kenneth BEDNAREK,USA
24,9.99,+0.3,Bouwahjgie NKRUMIE,JAM
24,9.99,+0.4,Reece PRESCOD,GBR
24,9.99,+1.8,Micah WILLIAMS,USA
24,9.99,-0.6,Cravon GILLESPIE,USA
28,10.01,+1.8,Ronnie BAKER,USA
28,10.01,+1.9,Renan CORREA,BRA
28,10.01,+1.4,Emmanuel ESEME,CMR
31,10.02,0.0,Rohan BROWNING,AUS
31,10.02,+1.4,Usheoritse ITSEKIRI,NGR
31,10.02,+0.5,Brandon CARNES,USA
31,10.02,+1.4,Raphael BOUJU,NED
31,10.02,+1.5,Chris ROYSTER,USA
36,10.03,+1.6,Kendal WILLIAMS,USA
36,10.03,+1.2,Julian FORTE,JAM
36,10.03,+0.7,Yoshihide KIRYU,JPN
39,10.04,-0.3,Abdul-Rasheed SAMINU,GHA
39,10.04,+2.0,James DADZIE,GHA
39,10.04,+1.7,José GONZÁLEZ,DOM
39,10.04,+0.8,Emmanuel MATADI,LBR
39,10.04,+1.3,Robert GREGORY,USA
39,10.04,+0.1,Seye OGUNLEWE,NGR
45,10.05,+2.0,Zhenye XIE,CHN
45,10.05,+1.0,Alaba Olukunle AKINTOLA,NGR
45,10.05,+0.6,Tapiwa MAKARAWU,ZIM
45,10.05,+0.4,Yohan BLAKE,JAM
45,10.05,-0.9,Letsile TEBOGO,BOT
45,10.05,+0.1,Dominik KOPEĆ,POL
51,10.06,+1.5,Mouhamadou FALL,FRA
51,10.06,+0.2,Jimmy VICAUT,FRA
53,10.07,+1.8,Andrew HUDSON,JAM
53,10.07,+1.0,Felipe BARDI,BRA
53,10.07,-0.2,Ryiem FORDE,JAM
53,10.07,+1.9,Isaiah TROUSIL,USA
53,10.07,+1.3,Amir WILLIS,USA
58,10.08,+1.8,Jerome BLAKE,CAN
58,10.08,+1.9,Ronal LONGA,COL
58,10.08,+1.7,Ryuichiro SAKAI,JPN
58,10.08,+1.7,Taylor BANKS,USA
58,10.08,-0.3,Kadrian GOLDSON,JAM
58,10.08,+1.9,Michael CAMPBELL,JAM
58,10.08,+1.2,Markus FUCHS,AUT
58,10.08,+1.4,Deandre DALEY,JAM
66,10.09,+0.8,Benjamin AZAMATI,GHA
66,10.09,+1.5,Rivaldo ROBERTS,RSA
66,10.09,0.0,Trayvon BROMELL,USA
66,10.09,+0.5,J.T SMITH,USA
66,10.09,+1.3,Kion BENJAMIN,TTO
71,10.10,+1.0,Issamade ASINGA,SUR
71,10.10,+1.0,Austin KRESLEY,USA
71,10.10,+0.2,Samwel Bitonyake IMETA,KEN
71,10.10,+1.9,Wanya MCCOY,BAH
71,10.10,+1.9,Tsebo MATSOSO,RSA
76,10.11,+2.0,Rikkoi BRATHWAITE,IVB
76,10.11,+1.4,Sachin DENNIS,JAM
76,10.11,-0.2,Terrance LAIRD,USA
76,10.11,+1.3,Muhd Azeem FAHMI,MAS
76,10.11,+0.6,Nazzio JOHN,GRN
76,10.11,+0.4,Yuki KOIKE,JPN
76,10.11,+0.5,Cejhae GREENE,ANT
76,10.11,+1.4,Taymir BURNET,NED
76,10.11,+0.6,Julian WAGNER,GER
85,10.12,+0.5,Ismael KONE,CIV
85,10.12,+0.7,Illas GARCIA,USA
85,10.12,-0.8,Rodrigo DO NASCIMENTO,BRA
85,10.12,+1.3,Javonte' HARDING,USA
85,10.12,+1.3,Sterling WARNER-SAVAGE,USA
85,10.12,+0.8,Brandon HICKLIN,USA
85,10.12,+0.9,Oliver BROMBY,GBR
85,10.12,+0.9,Samuli SAMUELSSON,FIN
93,10.13,-1.0,Edward OSEI-NKETIA,NZL
93,10.13,+0.9,Oshane BAILEY,JAM
93,10.13,+1.8,Femi OGUNODE,QAT
93,10.13,+1.5,Hiroki YANAGITA,JPN
93,10.13,+1.9,Rodney HEATH,USA
93,10.13,+1.4,Nolton SHELVIN,USA
93,10.13,+1.9,Sam BLASKOWSKI,USA
93,10.13,0.0,Samuele CECCARELLI,ITA
